425	809
424	809
424	813
423	813
423	815
422	815
422	816
421	816
421	818
420	818
420	819
419	819
419	820
418	820
418	821
417	821
417	822
416	822
416	823
415	823
415	824
413	824
413	825
411	825
411	826
409	826
409	827
405	827
405	828
395	828
395	827
391	827
391	826
389	826
389	825
387	825
387	824
385	824
385	823
384	823
384	822
383	822
383	821
382	821
382	820
381	820
381	819
380	819
380	818
379	818
379	816
378	816
378	815
377	815
377	813
376	813
376	809
375	809
375	800
376	800
376	796
377	796
377	794
378	794
378	793
379	793
379	791
380	791
380	790
381	790
381	789
382	789
382	788
383	788
383	787
384	787
384	786
385	786
385	785
387	785
387	784
389	784
389	783
391	783
391	782
395	782
395	781
405	781
405	782
409	782
409	783
411	783
411	784
413	784
413	785
415	785
415	786
416	786
416	787
417	787
417	788
418	788
418	789
419	789
419	790
420	790
420	791
421	791
421	793
422	793
422	794
423	794
423	796
424	796
424	800
425	800
