404	849
403	849
403	853
402	853
402	855
401	855
401	857
400	857
400	859
399	859
399	860
398	860
398	861
397	861
397	862
396	862
396	863
395	863
395	864
394	864
394	865
393	865
393	866
392	866
392	867
390	867
390	868
388	868
388	869
386	869
386	870
384	870
384	871
381	871
381	872
377	872
377	873
364	873
364	872
360	872
360	871
357	871
357	870
355	870
355	869
353	869
353	868
351	868
351	867
349	867
349	866
348	866
348	865
347	865
347	864
346	864
346	863
345	863
345	862
344	862
344	861
343	861
343	860
342	860
342	859
341	859
341	857
340	857
340	855
339	855
339	853
338	853
338	849
337	849
337	839
338	839
338	835
339	835
339	833
340	833
340	831
341	831
341	829
342	829
342	828
343	828
343	827
344	827
344	826
345	826
345	825
346	825
346	824
347	824
347	823
348	823
348	822
349	822
349	821
351	821
351	820
353	820
353	819
355	819
355	818
357	818
357	817
360	817
360	816
364	816
364	815
377	815
377	816
381	816
381	817
384	817
384	818
386	818
386	819
388	819
388	820
390	820
390	821
392	821
392	822
393	822
393	823
394	823
394	824
395	824
395	825
396	825
396	826
397	826
397	827
398	827
398	828
399	828
399	829
400	829
400	831
401	831
401	833
402	833
402	835
403	835
403	839
404	839
