207	871
206	871
206	874
205	874
205	877
204	877
204	879
203	879
203	880
202	880
202	881
201	881
201	883
200	883
200	884
199	884
199	885
198	885
198	886
196	886
196	887
195	887
195	888
193	888
193	889
191	889
191	890
188	890
188	891
184	891
184	892
174	892
174	891
170	891
170	890
167	890
167	889
165	889
165	888
163	888
163	887
162	887
162	886
160	886
160	885
159	885
159	884
158	884
158	883
157	883
157	881
156	881
156	880
155	880
155	879
154	879
154	877
153	877
153	874
152	874
152	871
151	871
151	861
152	861
152	858
153	858
153	855
154	855
154	853
155	853
155	852
156	852
156	851
157	851
157	849
158	849
158	848
159	848
159	847
160	847
160	846
162	846
162	845
163	845
163	844
165	844
165	843
167	843
167	842
170	842
170	841
174	841
174	840
184	840
184	841
188	841
188	842
191	842
191	843
193	843
193	844
195	844
195	845
196	845
196	846
198	846
198	847
199	847
199	848
200	848
200	849
201	849
201	851
202	851
202	852
203	852
203	853
204	853
204	855
205	855
205	858
206	858
206	861
207	861
